,country,continent,year,lifeExp,pop,gdpPercap,pop_boxcox,gdpPercap_boxcox
0,Afghanistan,Asia,1952,28.801,8425333,779.4453145,19.41099557333569,13.874684177333524
1,Afghanistan,Asia,1957,30.332,9240934,820.8530296,19.54640626742742,14.070281373979048
2,Afghanistan,Asia,1962,31.997,10267083,853.10071,19.701086718298328,14.217205384841154
3,Afghanistan,Asia,1967,34.02,11537966,836.1971382,19.87296860830595,14.140756736916575
4,Afghanistan,Asia,1972,36.088,13079460,739.9811058,20.058199424072928,13.68035968503784
5,Afghanistan,Asia,1977,38.438,14880372,786.11336,20.24932781289615,13.906735637991863
6,Afghanistan,Asia,1982,39.854,12881816,978.0114388,20.03567866659232,14.74738297624148
7,Afghanistan,Asia,1987,40.822,13867957,852.3959448,20.14485703386491,14.214042342680028
8,Afghanistan,Asia,1992,41.674,16317921,649.3413952,20.386325404385254,13.200446899248538
9,Afghanistan,Asia,1997,41.763,22227415,635.341351,20.84765678639245,13.121600086985923
10,Afghanistan,Asia,2002,42.129,25268405,726.7340548,21.04006303753914,13.613268465806252
11,Afghanistan,Asia,2007,43.828,31889923,974.5803384,21.39079130603276,14.733565778399988
12,Albania,Europe,1952,55.23,1282697,1601.056136,16.716642548048803,16.784125425306556
13,Albania,Europe,1957,59.28,1476505,1942.284244,16.91389887536785,17.638547216981543
14,Albania,Europe,1962,64.82,1728137,2312.888958,17.135287405115708,18.43961329064196
15,Albania,Europe,1967,66.22,1984060,2760.196931,17.330260537503182,19.27948777801392
16,Albania,Europe,1972,67.69,2263554,3313.422188,17.516925544057887,20.17885453695617
17,Albania,Europe,1977,68.93,2509048,3533.00391,17.663175172498214,20.50259548404428
18,Albania,Europe,1982,70.42,2780097,3630.880722,17.809236492541082,20.641726355212427
19,Albania,Europe,1987,72.0,3075321,3738.932735,17.953285565058682,20.79187429975196
20,Albania,Europe,1992,71.581,3326498,2497.437901,18.06558533265009,18.800659273295437
21,Albania,Europe,1997,72.95,3428038,3193.054604,18.10864960542,19.994030494031872
22,Albania,Europe,2002,75.651,3508512,4604.211737,18.14190413041556,21.88328868510057
23,Albania,Europe,2007,76.423,3600523,5937.029526,18.17902578202681,23.278992700813117
24,Algeria,Africa,1952,43.077,9279525,2449.008185,19.55252057245353,18.708038043736405
25,Algeria,Africa,1957,45.685,10270856,3013.976023,19.701627118199703,19.70844489807887
26,Algeria,Africa,1962,48.303,11000948,2550.81688,19.80271230105943,18.90109361765966
27,Algeria,Africa,1967,51.407,12760499,3246.991771,20.02168741523929,20.077529082922545
28,Algeria,Africa,1972,54.518,14760787,4182.663766,20.237355533661685,21.374234800813035
29,Algeria,Africa,1977,58.014,17152804,4910.416756,20.460576262542887,22.23011502250011
30,Algeria,Africa,1982,61.368,20033753,5745.160213,20.69217513855037,23.094652748439238
31,Algeria,Africa,1987,65.799,23254956,5681.358539,20.91539971970588,23.032262010317822
32,Algeria,Africa,1992,67.744,26298373,5023.216647,21.100131862674186,22.353516311489507
33,Algeria,Africa,1997,69.152,29072015,4797.295051,21.251140521058048,22.10405950281888
34,Algeria,Africa,2002,70.994,31287142,5288.040382,21.361960287378384,22.634733866485902
35,Algeria,Africa,2007,72.301,33333216,6223.367465,21.457717965466017,23.54541113753531
36,Angola,Africa,1952,30.015,4232095,3520.610273,18.411303213791577,20.484758544588917
37,Angola,Africa,1957,31.999,4561361,3827.940465,18.519288564373163,20.912969086962345
