country,continent,year,lifeExp,pop,gdpPercap,cluster
0,2,-1.6712473927737252,-3.0957905108204877,-0.2234547113102799,-0.9267268761510683,2
0,2,-1.3759018648354229,-2.9657211953492415,-0.21564888113643024,-0.9230841691995133,2
0,2,-1.0805563368971205,-2.8242676288831245,-0.2058279701431067,-0.9202472860418478,2
0,2,-0.7852108089588182,-2.652399421699368,-0.19366479615382445,-0.9217343219324606,2
0,2,-0.48986528102051596,-2.4767081451516626,-0.17891169950729235,-0.9301986095471743,2
0,2,-0.19451975308221361,-2.2770589672565427,-0.16167580446786994,-0.9261402768751249,2
0,2,0.10082577485608869,-2.156759717937611,-0.18080328068348064,-0.9092586773001025,2
0,2,0.396171302794391,-2.0745212480642166,-0.17136527217997183,-0.9203092854322283,2
0,2,0.6915168307326933,-2.0021378014401137,-0.14791752883972897,-0.9381723386721014,2
0,2,0.9868623586709957,-1.9945766198091923,-0.09135984122362308,-0.9394039463134853,2
0,2,1.282207886609298,-1.9634823223157396,-0.06225559601012394,-0.931363975099192,2
0,2,1.5775534145476002,-1.8191402145524163,0.0011166227599471099,-0.9095605170236511,2
1,3,-1.6712473927737252,-0.8504593948246902,-0.2918143670851317,-0.8544483782015196,2
1,3,-1.3759018648354229,-0.5063831520692704,-0.2899594989151154,-0.824429962597671,2
1,3,-1.0805563368971205,-0.0357208348186479,-0.2875512175884543,-0.7918272371223201,2
1,3,-0.7852108089588182,0.08321910094865809,-0.2851018686107285,-0.75247679581451,2
1,3,-0.48986528102051596,0.20810603350432874,-0.2824269298862665,-0.7038086313291507,2
1,3,-0.19451975308221361,0.31345283375537153,-0.28007739319773983,-0.6844916546924995,2
1,3,0.10082577485608869,0.4400389082505748,-0.27748327859661526,-0.6758812654786198,2
1,3,0.396171302794391,0.5742711214736765,-0.2746577935772926,-0.6663757465690626,2
1,3,0.6915168307326933,0.5386740978404618,-0.2722538668955241,-0.775592153492501,2
1,3,0.9868623586709957,0.6549803636014913,-0.2712820632858514,-0.7143975719147345,2
1,3,1.282207886609298,0.8844494825354137,-0.27051187494938495,-0.5902556846915127,2
1,3,1.5775534145476002,0.9500363614013855,-0.2696312700456071,-0.4730054424740559,2
2,0,-1.6712473927737252,-1.8829429943818785,-0.21527954025499552,-0.779852597777074,2
2,0,-1.3759018648354229,-1.6613748854667834,-0.20579186008776598,-0.7301514185181492,2
2,0,-1.0805563368971205,-1.4389572055819224,-0.19880440646364556,-0.7708963141446734,2
2,0,-0.7852108089588182,-1.1752503765664108,-0.18196436300093846,-0.7096526278215001,2
2,0,-0.48986528102051596,-0.9109488478720624,-0.1628203104227913,-0.6273399749177947,2
2,0,-0.19451975308221361,-0.613938836841705,-0.13992715742891149,-0.5633183096487558,2
2,0,0.10082577485608869,-0.32899273358203185,-0.1123546083105043,-0.48988451147284684,2
2,0,0.396171302794391,0.04745216312149044,-0.08152560788812242,-0.4954972529834415,2
2,0,0.6915168307326933,0.21269371674106785,-0.05239813471164638,-0.5533951118560734,2
2,0,0.9868623586709957,0.3323133092841866,-0.025852583130595415,-0.5732698179650225,2
2,0,1.282207886609298,0.4888042819151699,-0.0046523820819097264,-0.5300981185761603,2
2,0,1.5775534145476002,0.5998432076636474,0.014929872190864937,-0.4478158081662883,2
3,0,-1.6712473927737252,-2.9926525950908385,-0.26358671667384986,-0.6855819439669962,2
3,0,-1.3759018648354229,-2.824097714689172,-0.260435427651371,-0.6585455855464099,2
3,0,-1.0805563368971205,-2.654098563638901,-0.2579025173449467,-0.6197204844675702,2
3,0,-0.7852108089588182,-2.485458726140257,-0.2538689294139735,-0.5094479950082152,2
3,0,-0.48986528102051596,-2.320387086714633,-0.24767299710096952,-0.5138015708813289,2
3,0,-0.19451975308221361,-2.1882788009159473,-0.24510981483455507,-0.7306201904829692,2
3,0,0.10082577485608869,-2.149283493403666,-0.23693926640231058,-0.7527621108114004,2
3,0,0.396171302794391,-2.152341948894825,-0.22872912419881128,-0.7815064545895732,2
3,0,0.6915168307326933,-2.08938874003513,-0.22048154161988318,-0.7641199594782583,2
3,0,0.9868623586709957,-2.0625422973905096,-0.20958022887271754,-0.7949720558439041,2
3,0,1.282207886609298,-2.059144013511444,-0.20009493179686882,-0.7513252127882056,2
3,0,1.5775534145476002,-1.9123381499357979,-0.18521860348519842,-0.5732754291517214,2
4,1,-1.6712473927737252,-0.2340956562591176,-0.1329965534545986,-0.47526758829220733,2
4,1,-1.3759018648354229,-0.07148777264581553,-0.11640505015280928,-0.3920867282869507,2
4,1,-1.0805563368971205,-0.008364649592167404,-0.10039101104637968,-0.36777928541351995,2
4,1,-0.7852108089588182,0.03343424212034319,-0.0845952114289334,-0.2868640626471111,2
4,1,-0.48986528102051596,0.15500784789392452,-0.0669318721033656,-0.16457588229012932,2
4,1,-0.19451975308221361,0.27530709721285607,-0.045837886107468445,-0.10862692005809263,2
4,1,0.10082577485608869,0.39942941589573694,-0.02327464292478648,-0.20373570133531804,2
4,1,0.396171302794391,0.4701137205803077,-0.0014579294364288516,-0.1912636040384669,2
4,1,0.6915168307326933,0.5630567846727588,0.02091852340697812,-0.17641861590573646,2
4,1,0.9868623586709957,0.6825914201189017,0.042399996233137435,-0.030485602180305754,2
4,1,1.282207886609298,0.7730707283990303,0.06276306226178703,-0.22135262264703356,2
4,1,1.5775534145476002,0.8563286834361433,0.0816249529921858,0.12892770609614446,2
5,4,0.6915168307326933,0.290769288862606,-0.27175779149174073,-0.8683583168420685,2
